hidden_layer_sizes,learning_rate_init,alpha,batch_size,activation,threshold,accuracy,precision,recall,f1,accuracy_ci,p_value,ci_low,ci_high,n_test,n_correct,final_equity,sharpe
"(64, 32)",0.001,0.0001,32,relu,0.55,0.5485781990521327,0.5498798076923077,0.9859913793103449,0.7060185185185185,0.5485781990521327,7.17958533767524e-05,0.5247550626118667,0.5721807342649381,1688,926,259.7987115853409,0.8491110361441068
"(32, 16)",0.0005,0.001,32,relu,0.7,0.5272511848341233,0.5491679273827534,0.7823275862068966,0.6453333333333333,0.5272511848341233,0.026737228693353626,0.503399347605343,0.5509792701548158,1688,890,230.25119460993992,0.8400241319847773
"(64, 32)",0.001,0.0001,32,relu,0.5,0.5468009478672986,0.5488902219556089,0.9859913793103449,0.7052023121387283,0.5468009478672986,0.000131360209084781,0.5229737509379307,0.5704156143458202,1688,923,255.44230921532528,0.8355211581044055
"(64, 32)",0.0005,0.001,32,relu,0.5,0.5497630331753555,0.5498812351543944,0.9978448275862069,0.7090352220520674,0.5497630331753555,4.745049585089045e-05,0.5259427729476444,0.5733573116578631,1688,928,267.3187988024383,0.8351373430530541
"(64, 32)",0.001,0.001,32,relu,0.5,0.5491706161137441,0.5495548961424332,0.9978448275862069,0.7087638729429774,0.5491706161137441,5.8434014166288703e-05,0.5253489008499245,0.5727690398912316,1688,927,264.8781941004186,0.8281680426784881
"(64, 32)",0.0005,0.0001,32,relu,0.55,0.5468009478672986,0.5491852745926373,0.9806034482758621,0.7040618955512572,0.5468009478672986,0.000131360209084781,0.5229737509379307,0.5704156143458202,1688,923,245.193378473676,0.8272316036986347
"(32, 16)",0.0005,0.0001,32,relu,0.7,0.5272511848341233,0.5491679273827534,0.7823275862068966,0.6453333333333333,0.5272511848341233,0.026737228693353626,0.503399347605343,0.5509792701548158,1688,890,224.00422114989112,0.8136820842654761
"(64, 32)",0.0005,0.001,32,relu,0.55,0.5479857819905213,0.5490779298036883,0.9946120689655172,0.7075507857416635,0.5479857819905213,8.801218772654186e-05,0.5241612582216223,0.5715923947908311,1688,925,246.3655283810024,0.7765502829241485
"(64, 32)",0.0005,0.0001,32,relu,0.6,0.5373222748815166,0.5491638795986622,0.884698275862069,0.6776723070573669,0.5373222748815166,0.0023369197571553456,0.5134785545609987,0.560996508893132,1688,907,210.88693360682927,0.7731338125846859
"(64, 32)",0.001,0.0001,32,relu,0.65,0.5373222748815166,0.5467260012714558,0.9267241379310345,0.6877249100359856,0.5373222748815166,0.0023369197571553456,0.5134785545609987,0.560996508893132,1688,907,216.96473169077223,0.7726348149800836
"(64, 32)",0.001,0.001,32,relu,0.55,0.5468009478672986,0.5484830458060678,0.9935344827586207,0.7067842085090073,0.5468009478672986,0.000131360209084781,0.5229737509379307,0.5704156143458202,1688,923,242.27538976900766,0.7651859562478162
"(64, 32)",0.001,0.0001,32,relu,0.6,0.544431279620853,0.548564447159438,0.9676724137931034,0.7001949317738791,0.544431279620853,0.00028475815750414213,0.5205991420396299,0.568061647786716,1688,919,216.49667253398036,0.7369833202241154
"(64, 32)",0.0005,0.001,32,relu,0.6,0.5479857819905213,0.5497287522603979,0.9827586206896551,0.7050637804406649,0.5479857819905213,8.801218772654186e-05,0.5241612582216223,0.5715923947908311,1688,925,225.86314559852406,0.7195442390378763
"(32, 16)",0.001,0.001,32,relu,0.7,0.5219194312796208,0.5415236787920384,0.8502155172413793,0.6616352201257861,0.5219194312796208,0.0755712874140573,0.4980672209971448,0.5456721019838525,1688,881,206.2935102491969,0.7165653446190111
"(64, 32)",0.0005,0.0001,32,relu,0.5,0.5462085308056872,0.5484449760765551,0.9881465517241379,0.7053846153846154,0.5462085308056872,0.00015993509674786023,0.5223800480215371,0.5698271733978625,1688,922,221.2885654580581,0.7081484831272453
"(32, 16)",0.001,0.0001,32,relu,0.7,0.5106635071090048,0.5475746268656716,0.6325431034482759,0.587,0.5106635071090048,0.39428341794119987,0.4868194077146577,0.5344591818436653,1688,862,172.0100761458209,0.689240050027198
"(64, 32)",0.001,0.001,32,relu,0.6,0.5456161137440758,0.5481747456612807,0.9870689655172413,0.7048864948056945,0.5456161137440758,0.0001942845705749317,0.5217863789070638,0.5692386986479847,1688,921,206.00146466113478,0.6548386717382706
"(64, 32)",0.0005,0.001,32,relu,0.65,0.5266587677725119,0.5432016075016745,0.8739224137931034,0.6699710863279636,0.5266587677725119,0.030263739157364997,0.5028067550969423,0.5503897187988652,1688,889,192.48012680367214,0.6544420530492235
"(64, 32)",0.0005,0.0001,32,relu,0.65,0.504739336492891,0.5565110565110565,0.48814655172413796,0.5200918484500574,0.504739336492891,0.7150526969816297,0.480904349604045,0.5285528013107652,1688,852,151.21809774403664,0.6500004313065159
"(64, 32)",0.001,0.0001,32,relu,0.7,0.5296208530805687,0.5484104046242775,0.8178879310344828,0.6565743944636678,0.5296208530805687,0.01594400920897002,0.5057700529021832,0.5533371403153807,1688,894,167.38300578822745,0.5953701350017081
"(64, 32)",0.001,0.001,32,relu,0.65,0.5308056872037915,0.5425,0.9353448275862069,0.6867088607594937,0.5308056872037915,0.012154190487802754,0.5069556068040441,0.5545158741422226,1688,896,181.35782791918348,0.5765940143052096
"(64, 32)",0.001,0.001,32,relu,0.7,0.5154028436018957,0.5417298937784522,0.7693965517241379,0.6357969723953696,0.5154028436018957,0.21447511886069168,0.491553858484237,0.5391818819888963,1688,870,156.63741676788615,0.4935497151180364
"(64, 32)",0.0005,0.0001,32,relu,0.7,0.4656398104265403,0.5357142857142857,0.2101293103448276,0.3018575851393189,0.4656398104265403,0.005110225965695109,0.4419487300907792,0.4894869257768467,1688,786,115.54117618981405,0.3914675235082998
"(64, 32)",0.0005,0.001,32,relu,0.7,0.4928909952606635,0.539647577092511,0.5280172413793104,0.5337690631808278,0.4928909952606635,0.5756211563736888,0.4690842458883236,0.516730027739461,1688,832,108.7190932600252,0.16206627532940832
